prot	pheno	estimate	has_direction
PRL	PRL_olink	0.78673507368144	TRUE
P4	PROK1	0.403197182084841	TRUE
E2	CSF3	0.356200173592915	TRUE
E2	TNFRSF13B	0.222017433480031	TRUE
E2	CHRDL2	0.281158223872052	TRUE
P4	FGFR4	0.215158193789619	TRUE
CRLF1	E2	0.246727289045176	FALSE
P4	NPTX2	0.331992909818079	TRUE
CXCL13	P4	0.408241549148502	FALSE
P4	IGFBP2	-0.258356978729931	TRUE
E2	PGF	0.268436883952485	TRUE
P4	MMP10	-0.293021783893546	TRUE
P4	CLSTN2	-0.234228032994083	TRUE
E2	CTSV	0.297459193645151	TRUE
P4	TNFSF10	-0.277160037556479	TRUE
E2	SFRP4	0.294188708549235	TRUE
KLB	P4	-0.208264699764617	FALSE
GUSB	P4	0.201612581912997	FALSE
FGF21	P4	-0.306245225152306	TRUE
P4	FGF21	-0.306245225152306	TRUE
FSH	CXCL13	-0.299218117576933	TRUE
CXCL13	LH	-0.273814958388536	FALSE
AMOT	E2	0.287494867187712	FALSE
LEFTY2	E2	-0.238755975326052	FALSE
LH	COL4A1	-0.156210807917989	TRUE
CKB	P4	-0.281708905681304	FALSE
REN	LH	0.235672384015783	TRUE
P4	TNFSF11	-0.226238317911397	TRUE
LH	OXT	0.244189199124842	TRUE
REN	P4	0.255305873452979	TRUE
P4	REN	0.255305873452979	TRUE
LEFTY2	P4	-0.293006311707401	TRUE
P4	LEFTY2	-0.293006311707401	TRUE
CTSV	LH	0.283972887835114	FALSE
COL4A1	P4	0.179405471099272	FALSE
PROK1	FSH	-0.209600376928497	FALSE
IGFBP6	E2	0.179423820558911	FALSE
MMP10	E2	-0.184326465643476	FALSE
PROK1	LH	-0.195020223265674	FALSE
P4	WFDC12	-0.231438073102658	TRUE
P4	RETN	0.169919975638202	TRUE
GCNT1	P4	-0.329152646548926	FALSE
OXT	E2	0.196593527046523	FALSE
CANT1	P4	0.248428056924015	FALSE
HS3ST3B1	LH	0.252808281133726	FALSE
PGLYRP1	P4	0.164298340279507	FALSE
NELL1	LH	-0.144490214852786	FALSE
REN	E2	0.186168788996456	FALSE
NPPC	E2	0.194178049100415	TRUE
CNDP1	P4	0.150017829051043	FALSE
CD14	P4	0.227839320707347	FALSE
P4	PGLYRP3	-0.190138348884618	TRUE
KLK4	E2	0.134392964963996	FALSE
P4	CHIT1	0.083440646615	TRUE
INHBB	LH	0.232310494296627	FALSE
GDF15	P4	0.186057642243254	TRUE
COL4A1	PRL	0.158440525370191	FALSE
