feature	type
PRL_olink	protein
PROK1	protein
CSF3	protein
TNFRSF13B	protein
CHRDL2	protein
FGFR4	protein
CRLF1	protein
NPTX2	protein
CXCL13	protein
IGFBP2	protein
PGF	protein
MMP10	protein
CLSTN2	protein
CTSV	protein
TNFSF10	protein
SFRP4	protein
KLB	protein
GUSB	protein
FGF21	protein
AMOT	protein
LEFTY2	protein
COL4A1	protein
CKB	protein
REN	protein
TNFSF11	protein
OXT	protein
IGFBP6	protein
WFDC12	protein
RETN	protein
GCNT1	protein
CANT1	protein
HS3ST3B1	protein
PGLYRP1	protein
NELL1	protein
NPPC	protein
CNDP1	protein
CD14	protein
PGLYRP3	protein
KLK4	protein
CHIT1	protein
INHBB	protein
GDF15	protein
DSG3	protein
CLK3	protein
ABI3BP	protein
LAMA4	protein
STC2	protein
FETUB	protein
ESAM	protein
FAS	protein
WIF1	protein
MEPE	protein
FASLG	protein
PRTG	protein
TSHB	protein
IGFBP7	protein
RGMB	protein
INHBC	protein
KRT18	protein
GDF2	protein
CD74	protein
TIMP1	protein
CA12	protein
CD27	protein
KLRD1	protein
LCN2	protein
GFRA1	protein
PSAPL1	protein
PTPRC	protein
CXCL16	protein
NPC2	protein
DMP1	protein
BOC	protein
TACSTD2	protein
CSTB	protein
RNASE1	protein
NADK	protein
CST7	protein
CGREF1	protein
NOS3	protein
BMPER	protein
ADGRB3	protein
SOD3	protein
B4GALT1	protein
TFPI	protein
CCL11	protein
CCN4	protein
TMSB10	protein
CLEC5A	protein
KLK14	protein
IGFBP1	protein
IGFBP4	protein
ANGPTL4	protein
CLPS	protein
ST3GAL1	protein
ICA1	protein
MYOC	protein
MOG	protein
C1QA	protein
TNFRSF6B	protein
COL6A3	protein
CST6	protein
SEMA3F	protein
CCN1	protein
PRTN3	protein
NBL1	protein
CTSF	protein
PSPN	protein
KAZALD1	protein
S100A13	protein
TNFRSF21	protein
FCRL5	protein
PILRB	protein
EPO	protein
SPINK5	protein
OSM	protein
CD70	protein
DPP6	protein
FBLN2	protein
SLITRK2	protein
SLC39A5	protein
EDN1	protein
POMC	protein
SPON2	protein
CEACAM8	protein
ENDOU	protein
HSPA13	protein
OBP2B	protein
CILP	protein
